10/16/15
Module Metrics

Program: PopcornTime_Android
Module Name,Mod #,v(G),ev(G),iv(G),# Lines,Line #
Style.toString(),409,1,1,1,13,157
TorrentService.onCreate(),450,1,1,1,13,81
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_027_.onClick(PrefItem),597,1,1,1,12,484
"StringArraySelectorDialogFragment.show(android.support.v4.app.FragmentManager,java.lang.String,java.lang.String[],int,int,OnClickListener)",391,1,1,1,12,124
"Style.Style(java.lang.String,Style)",406,1,1,1,12,39
EZTVProvider.getNavigation(),150,1,1,1,11,346
StrokedTextView.onDraw(android.graphics.Canvas),403,1,1,1,11,46
YTSProvider.getNavigation(),525,1,1,1,10,327
"pct.droid.base.beaming.BeamDeviceAdapter.__Anon_001_.onDeviceRemoved(com.connectsdk.discovery.DiscoveryManager,com.connectsdk.device.ConnectableDevice)",534,1,1,1,10,181
"BaseStreamLoadingFragment.setState(State,java.lang.Object)",723,1,1,1,10,172
"pct.droid.base.beaming.BeamDeviceAdapter.__Anon_001_.onDeviceUpdated(com.connectsdk.discovery.DiscoveryManager,com.connectsdk.device.ConnectableDevice)",535,1,1,1,10,169
BeamServer.start(),131,1,1,1,10,166
SubtitleDownloader.SubtitleParseTask.parseAsTimedTextObject(java.io.File),418,1,1,1,10,159
"pct.droid.base.beaming.BeamDeviceAdapter.__Anon_001_.onDeviceAdded(com.connectsdk.discovery.DiscoveryManager,com.connectsdk.device.ConnectableDevice)",533,1,1,1,10,157
"FileUtils.copy(java.io.File,java.io.File)",167,1,1,1,9,252
"pct.droid.base.vpn.VPNManager.__Anon_002_.newStatus(java.lang.String,java.lang.String,java.lang.String,java.lang.String)",688,1,1,1,9,212
BeamServer.FileType.setHeaders(com.koushikdutta.async.http.Headers),120,1,1,1,9,211
UnicodeBOMInputStream.BOM.getBytes(),471,1,1,1,9,118
BeamDeviceAdapter.BeamDeviceAdapter(android.content.Context),69,1,1,1,9,69
"FileSelectorDialogFragment.onCreateView(android.view.LayoutInflater,android.view.ViewGroup,android.os.Bundle)",163,1,1,1,9,65
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_040_.get(PrefItem),610,1,1,1,8,661
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_031_.onClick(PrefItem),601,1,1,1,8,535
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_025_.onClick(PrefItem),595,1,1,1,8,453
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_023_.onClick(PrefItem),593,1,1,1,8,423
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_021_.onClick(PrefItem),591,1,1,1,8,397
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_017_.onClick(PrefItem),587,1,1,1,8,322
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_015_.onClick(PrefItem),585,1,1,1,8,297
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_013_.onClick(PrefItem),583,1,1,1,8,272
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_011_.onClick(PrefItem),581,1,1,1,8,247
pct.droid.base.beaming.BeamPlayerNotificationService.__Anon_006_.onDeviceDisconnected(com.connectsdk.device.ConnectableDevice),553,1,1,1,8,236
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_005_.onClick(PrefItem),575,1,1,1,8,147
"UnicodeBOMInputStream.BOM.BOM(byte[],java.lang.String)",470,1,1,1,8,128
PixelUtils.isTablet(android.content.Context),298,1,1,1,8,112
MediaProvider.Filters.Filters(MediaProvider$Filters),233,1,1,1,8,95
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_001_.onClick(PrefItem),571,1,1,1,8,75
YTSProvider.getClient(),520,1,1,1,8,70
FileUtils.getContentsAsString(java.lang.String),169,1,1,1,8,62
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_041_.onClick(PrefItem),611,1,1,1,7,682
BeamManager.onDestroy(),95,1,1,1,7,175
StorageUtils.getTotalInternalMemorySize(),1253,1,1,1,7,156
StorageUtils.getAvailableInternalMemorySize(),363,1,1,1,7,145
"MediaProvider.NavInfo.NavInfo(int,MediaProvider$Filters$Sort,MediaProvider$Filters$Order,java.lang.String,java.lang.Integer)",234,1,1,1,7,112
PixelUtils.getScreenDensity(android.content.Context),1158,1,1,1,7,100
PixelUtils.getScreenHeight(android.content.Context),296,1,1,1,7,92
PixelUtils.getScreenWidth(android.content.Context),1157,1,1,1,7,84
"LocaleUtils.setCurrent(android.content.Context,java.util.Locale)",216,1,1,1,7,31
BaseVideoPlayerFragment.endReached(),764,1,1,1,6,437
PopcornUpdater.crc32(java.lang.String),312,1,1,1,6,348
"UnicodeBOMInputStream.read(byte[],int,int)",481,1,1,1,6,253
"YTSProvider.getDetail(java.util.ArrayList,java.lang.Integer,Callback)",521,1,1,1,6,229
HaruProvider.getNavigation(),209,1,1,1,6,203
"BeamServer.FileType.FileType(java.lang.String,java.lang.String,java.lang.String,java.lang.String)",117,1,1,1,6,196
"Media.Torrent.writeToParcel(android.os.Parcel,int)",227,1,1,1,6,170
Media.Torrent.Torrent(android.os.Parcel),225,1,1,1,6,157
"Media.Torrent.Torrent(java.lang.String,java.lang.Integer,java.lang.Integer,java.lang.String)",1446,1,1,1,6,150
"BeamPlayerNotificationService.generateAction(int,java.lang.String,java.lang.String)",1632,1,1,1,6,110
TimedTextObject.TimedTextObject(),431,1,1,1,6,85
VPNManager.init(),498,1,1,1,6,82
pct.droid.base.providers.BaseProvider.__Anon_001_.doInBackground(java.lang.Void...),634,1,1,1,6,79
NetworkUtils.getWifiIPAddress(),254,1,1,1,6,65
YouTubeData.isYouTubeUrl(java.lang.String),529,1,1,1,6,43
"BeamServerService.onStartCommand(android.content.Intent,int,int)",136,1,1,1,6,41
"FileArrayAdapter.FileArrayAdapter(android.content.Context,int,java.util.List)",158,1,1,1,6,39
"BaseVideoPlayerFragment.onCreateOptionsMenu(android.view.Menu,android.view.MenuInflater)",40,1,1,1,5,759
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_045_.onClick(PrefItem),615,1,1,1,5,726
BaseVideoPlayerFragment.handleHardwareAccelerationError(),738,1,1,1,5,446
BaseVideoPlayerFragment.onDestroyView(),42,1,1,1,5,271
BeamPlayerNotificationService.onDestroy(),112,1,1,1,5,210
PopcornApplication.getStreamDir(),303,1,1,1,5,175
pct.droid.base.updater.PopcornUpdater.__Anon_001_.run(),676,1,1,1,5,157
BeamPlayerNotificationService.cancelNotification(),109,1,1,1,5,152
PopcornApplication.onTerminate(),307,1,1,1,5,146
"PopcornUpdater.getInstance(android.content.Context,Listener)",314,1,1,1,5,145
BaseVideoPlayerFragment.onCreate(android.os.Bundle),39,1,1,1,5,138
"YSubsProvider.getList(pct.droid.base.providers.media.models.Episode,Callback)",517,1,1,1,5,103
"pct.droid.base.beaming.server.BeamServer.__Anon_001_.onRequest(com.koushikdutta.async.http.server.AsyncHttpServerRequest,com.koushikdutta.async.http.server.AsyncHttpServerResponse)",554,1,1,1,5,76
"PixelUtils.changeDrawableColor(android.content.Context,java.lang.Integer,java.lang.Integer)",292,1,1,1,5,53
FileUtils.FileUtils#StaticInitializer#1,165,1,1,1,5,49
TraktProvider.TraktProvider#StaticInitializer#1,465,1,1,1,5,38
"ResourceUtils.resolveThemeAttribute(android.content.Context,int)",353,1,1,1,5,27
"Option.Option(java.lang.String,java.lang.String,java.lang.String)",287,1,1,1,5,27
"BaseVideoPlayerFragment.onSubtitleDownloadCompleted(boolean,pct.droid.base.subs.TimedTextObject)",55,1,1,1,4,901
pct.droid.base.fragments.BaseVideoPlayerFragment.__Anon_004_.onNewValue(int),627,1,1,1,4,890
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_043_.onClick(PrefItem),613,1,1,1,4,706
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_022_.get(PrefItem),592,1,1,1,4,408
BaseStreamLoadingFragment.onStreamReady(com.github.sv244.torrentstream.Torrent),22,1,1,1,4,284
TorrentService.start(android.content.Context),462,1,1,1,4,273
"TorrentService.bindHere(android.content.Context,android.content.ServiceConnection)",443,1,1,1,4,268
UnicodeBOMInputStream.read(byte[]),480,1,1,1,4,245
BaseVideoPlayerFragment.saveVideoCurrentTime(),1498,1,1,1,4,240
UnicodeBOMInputStream.getBOM(),476,1,1,1,4,214
"FileUtils.saveStringFile(java.lang.String,java.io.File)",989,1,1,1,4,186
"FileUtils.saveStringFile(java.io.InputStream,java.io.File)",1557,1,1,1,4,174
PrefItem.Builder.hasNext(java.lang.Boolean),318,1,1,1,4,161
PrefItem.Builder.setSubtitleGenerator(SubtitleGenerator),323,1,1,1,4,156
PrefItem.Builder.setOnClickListener(PrefItem$OnClickListener),321,1,1,1,4,151
"MediaProvider.writeToParcel(android.os.Parcel,int)",244,1,1,1,4,148
"BaseVideoPlayerFragment.onCreateView(android.view.LayoutInflater,android.view.ViewGroup,android.os.Bundle)",41,1,1,1,4,146
PrefItem.Builder.setDefaultValue(java.lang.Object),319,1,1,1,4,146
PrefItem.Builder.setPreferenceKey(java.lang.String),322,1,1,1,4,141
PopcornApplication.onConfigurationChanged(android.content.res.Configuration),305,1,1,1,4,140
PrefItem.Builder.setTitleResource(int),324,1,1,1,4,136
"pct.droid.base.beaming.BeamManager.__Anon_003_.onClick(android.content.DialogInterface,int)",539,1,1,1,4,135
PrefItem.Builder.setIconResource(int),320,1,1,1,4,131
PrefItem.Builder.Builder(android.content.Context),316,1,1,1,4,126
"BaseProvider.NameValuePair.NameValuePair(java.lang.String,java.lang.String)",4,1,1,1,4,122
TraktProvider.TraktTask.onPostExecute(MetaData),467,1,1,1,4,121
ObscuredSharedPreferences.Editor.remove(java.lang.String),269,1,1,1,4,120
"SubtitleDownloader.SubtitleParseTask.SubtitleParseTask(java.lang.String,ISubtitleDownloaderListener)",415,1,1,1,4,118
"StringArraySelectorDialogFragment.showSingleChoice(android.support.v4.app.FragmentManager,java.lang.String,java.util.List,int,OnClickListener)",395,1,1,1,4,115
ObscuredSharedPreferences.Editor.clear(),261,1,1,1,4,109
"TorrentService.onStartCommand(android.content.Intent,int,int)",453,1,1,1,4,104
"pct.droid.base.beaming.server.BeamServer.__Anon_002_.onRequest(com.koushikdutta.async.http.server.AsyncHttpServerRequest,com.koushikdutta.async.http.server.AsyncHttpServerResponse)",555,1,1,1,4,100
"StringArraySelectorDialogFragment.show(android.support.v4.app.FragmentManager,java.lang.String,java.util.List,int,OnClickListener)",392,1,1,1,4,98
"ObscuredSharedPreferences.Editor.putStringSet(java.lang.String,java.util.Set)",268,1,1,1,4,98
pct.droid.base.beaming.BeamPlayerNotificationService.__Anon_003_.onSuccess(java.lang.Long),547,1,1,1,4,95
pct.droid.base.providers.subs.YSubsProvider.__Anon_001_.onFailure(java.lang.Exception),666,1,1,1,4,95
BaseStreamLoadingFragment.onCreate(android.os.Bundle),15,1,1,1,4,93
"ObscuredSharedPreferences.Editor.putString(java.lang.String,java.lang.String)",267,1,1,1,4,91
"ObscuredSharedPreferences.Editor.putLong(java.lang.String,long)",266,1,1,1,4,85
pct.droid.base.beaming.BeamPlayerNotificationService.__Anon_002_.onSuccess(java.lang.Long),545,1,1,1,4,82
"ObscuredSharedPreferences.Editor.putInt(java.lang.String,int)",265,1,1,1,4,79
"ObscuredSharedPreferences.Editor.putFloat(java.lang.String,float)",264,1,1,1,4,73
"ObscuredSharedPreferences.Editor.putBoolean(java.lang.String,boolean)",263,1,1,1,4,67
VPNManager.VPNManager(android.app.Activity),493,1,1,1,4,66
PopcornApplication.attachBaseContext(android.content.Context),300,1,1,1,4,65
BeamServerService.onDestroy(),135,1,1,1,4,57
"ObscuredSharedPreferences.ObscuredSharedPreferences(android.content.Context,android.content.SharedPreferences)",270,1,1,1,4,54
"PixelUtils.getPixelsFromSp(android.content.Context,int)",295,1,1,1,4,48
VersionUtils.isAndroidTV(),505,1,1,1,4,47
"pct.droid.base.vpn.VPNHTChecker.__Anon_001_.onFailure(com.squareup.okhttp.Request,java.io.IOException)",683,1,1,1,4,46
"Media.Media(pct.droid.base.providers.media.MediaProvider,pct.droid.base.providers.subs.SubsProvider)",223,1,1,1,4,46
"MetaProvider.MetaData.Images.Images(java.lang.String,java.lang.String)",246,1,1,1,4,45
"PixelUtils.getPixelsFromDp(android.content.Context,int)",294,1,1,1,4,43
"Episode.Episode(pct.droid.base.providers.media.MediaProvider,pct.droid.base.providers.subs.SubsProvider,pct.droid.base.providers.meta.MetaProvider)",152,1,1,1,4,42
"Magnet.Magnet(android.content.Context,java.lang.String)",218,1,1,1,4,39
"OpenSubsProvider.getList(pct.droid.base.providers.media.models.Movie,Callback)",284,1,1,1,4,39
"Movie.Movie(pct.droid.base.providers.media.MediaProvider,pct.droid.base.providers.subs.SubsProvider)",251,1,1,1,4,37
Format.Format(java.lang.String),176,1,1,1,4,33
FatalParsingException.FatalParsingException(java.lang.String),156,1,1,1,4,31
"Genre.Genre(java.lang.String,int)",197,1,1,1,4,26
pct.droid.base.fragments.BaseVideoPlayerFragment.__Anon_003_.onNewValue(int),626,1,1,1,3,871
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_049_.get(PrefItem),619,1,1,1,3,772
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_048_.onClick(PrefItem),618,1,1,1,3,766
BaseVideoPlayerFragment.onStreamReady(com.github.sv244.torrentstream.Torrent),52,1,1,1,3,740
"BaseVideoPlayerFragment.onStreamError(com.github.sv244.torrentstream.Torrent,java.lang.Exception)",49,1,1,1,3,735
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_046_.get(PrefItem),616,1,1,1,3,734
BaseVideoPlayerFragment.onStreamStopped(),54,1,1,1,3,730
BaseVideoPlayerFragment.onStreamStarted(com.github.sv244.torrentstream.Torrent),53,1,1,1,3,725
BaseVideoPlayerFragment.onStreamPrepared(com.github.sv244.torrentstream.Torrent),50,1,1,1,3,720
BaseVideoPlayerFragment.changeSurfaceLayout(),30,1,1,1,3,715
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_044_.get(PrefItem),614,1,1,1,3,713
BaseVideoPlayerFragment.eventHardwareAccelerationError(),32,1,1,1,3,711
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_042_.get(PrefItem),612,1,1,1,3,692
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_039_.onClick(PrefItem),609,1,1,1,3,655
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_037_.onClick(PrefItem),607,1,1,1,3,635
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_035_.onClick(PrefItem),605,1,1,1,3,613
BaseVideoPlayerFragment.setLastSubtitleCaption(pct.droid.base.subs.Caption),62,1,1,1,3,553
"pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.31.__Anon_001_.onSelection(int,java.lang.Object)",567,1,1,1,3,538
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_029_.onClick(PrefItem),599,1,1,1,3,512
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_028_.get(PrefItem),598,1,1,1,3,499
"pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.25.__Anon_001_.onSelection(int,java.lang.Object)",564,1,1,1,3,456
"BeamManager.onDiscoveryFailed(com.connectsdk.discovery.DiscoveryManager,com.connectsdk.service.command.ServiceCommandError)",101,1,1,1,3,436
"pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.23.__Anon_001_.onSelection(int,java.lang.Object)",563,1,1,1,3,426
BaseVideoPlayerFragment.getStreamerProgress(),33,1,1,1,3,424
BaseVideoPlayerFragment.getDuration(),765,1,1,1,3,420
"BeamManager.onDeviceUpdated(com.connectsdk.discovery.DiscoveryManager,com.connectsdk.device.ConnectableDevice)",100,1,1,1,3,420
BaseVideoPlayerFragment.getCurrentTime(),1507,1,1,1,3,416
"pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.21.__Anon_001_.onSelection(int,java.lang.Object)",562,1,1,1,3,400
BaseVideoPlayerFragment.seekBackwardClick(),60,1,1,1,3,396
BaseVideoPlayerFragment.seekForwardClick(),61,1,1,1,3,392
HaruProvider.HaruResponse.HaruResponse(java.util.ArrayList),201,1,1,1,3,373
BaseVideoPlayerFragment.pause(),811,1,1,1,3,373
BaseVideoPlayerFragment.play(),812,1,1,1,3,369
BaseStreamLoadingFragment.onFailure(java.lang.Exception),16,1,1,1,3,361
BeamManager.getStreamInfo(),89,1,1,1,3,354
BaseVideoPlayerFragment.isSeeking(),35,1,1,1,3,351
BeamManager.removeDeviceListener(com.connectsdk.device.ConnectableDeviceListener),105,1,1,1,3,350
BaseVideoPlayerFragment.setSeeking(boolean),63,1,1,1,3,347
BeamManager.addDeviceListener(com.connectsdk.device.ConnectableDeviceListener),80,1,1,1,3,346
BeamManager.removeListener(BeamListener),107,1,1,1,3,342
EZTVProvider.getLoadingMessage(),149,1,1,1,3,341
BeamManager.addListener(BeamListener),82,1,1,1,3,338
BeamManager.removeDiscoveryListener(com.connectsdk.discovery.DiscoveryManagerListener),106,1,1,1,3,334
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_018_.get(PrefItem),588,1,1,1,3,333
BeamManager.addDiscoveryListener(com.connectsdk.discovery.DiscoveryManagerListener),81,1,1,1,3,330
"pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.17.__Anon_001_.onSelection(int,java.lang.Object)",560,1,1,1,3,325
YTSProvider.getLoadingMessage(),524,1,1,1,3,322
EZTVProvider.EZTVReponse.EZTVReponse(java.util.ArrayList),143,1,1,1,3,315
BaseStreamLoadingFragment.onStreamStopped(),24,1,1,1,3,309
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_016_.get(PrefItem),586,1,1,1,3,308
TorrentService.getCurrentTorrentUrl(),446,1,1,1,3,308
BaseStreamLoadingFragment.onStreamPrepared(com.github.sv244.torrentstream.Torrent),20,1,1,1,3,304
TorrentService.getCurrentTorrent(),445,1,1,1,3,304
PopcornUpdater.checkUpdatesManually(),311,1,1,1,3,304
"pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.15.__Anon_001_.onSelection(int,java.lang.Object)",559,1,1,1,3,300
UnicodeBOMInputStream.markSupported(),478,1,1,1,3,298
UnicodeBOMInputStream.reset(),482,1,1,1,3,291
UnicodeBOMInputStream.mark(int),477,1,1,1,3,284
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_014_.get(PrefItem),584,1,1,1,3,283
BaseVideoPlayerFragment.disableHardwareAcceleration(),31,1,1,1,3,281
TorrentService.stop(),463,1,1,1,3,278
UnicodeBOMInputStream.close(),475,1,1,1,3,277
BaseVideoPlayerFragment.onMediaReady(),44,1,1,1,3,277
"pct.droid.base.updater.PopcornUpdater.__Anon_003_.onFailure(com.squareup.okhttp.Request,java.io.IOException)",679,1,1,1,3,275
"pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.13.__Anon_001_.onSelection(int,java.lang.Object)",558,1,1,1,3,275
UnicodeBOMInputStream.available(),474,1,1,1,3,270
TorrentService.removeListener(com.github.sv244.torrentstream.listeners.TorrentListener),460,1,1,1,3,264
UnicodeBOMInputStream.skip(long),483,1,1,1,3,263
HaruProvider.HaruResponse.HaruResponse(com.google.gson.internal.LinkedTreeMap),200,1,1,1,3,263
BaseStreamLoadingFragment.onStreamStarted(com.github.sv244.torrentstream.Torrent),23,1,1,1,3,261
TorrentService.addListener(com.github.sv244.torrentstream.listeners.TorrentListener),442,1,1,1,3,260
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_012_.get(PrefItem),582,1,1,1,3,258
"pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.11.__Anon_001_.onSelection(int,java.lang.Object)",557,1,1,1,3,250
BeamServer.SubtitleFileResponse.SubtitleFileResponse(BeamServer$FileType),121,1,1,1,3,249
TorrentService.isReady(),447,1,1,1,3,248
TorrentService.isStreaming(),448,1,1,1,3,244
Time.getMilliseconds(),426,1,1,1,3,240
UnicodeBOMInputStream.read(),479,1,1,1,3,238
pct.droid.base.beaming.BeamPlayerNotificationService.__Anon_005_.onError(com.connectsdk.service.command.ServiceCommandError),551,1,1,1,3,229
BeamServer.VideoFileReponse.VideoFileReponse(BeamServer$FileType),123,1,1,1,3,229
BeamManager.playVideo(pct.droid.base.torrent.StreamInfo),103,1,1,1,3,228
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_009_.onClick(PrefItem),579,1,1,1,3,224
EZTVProvider.EZTVReponse.EZTVReponse(com.google.gson.internal.LinkedTreeMap),142,1,1,1,3,222
BeamServer.FileType.setHeaders(com.koushikdutta.async.http.server.AsyncHttpServerResponse),909,1,1,1,3,221
BeamServer.FileType.isVideo(),119,1,1,1,3,207
BeamManager.getMediaControl(),88,1,1,1,3,206
BeamPlayerNotificationService.onUnbind(android.content.Intent),114,1,1,1,3,205
pct.droid.base.vpn.VPNManager.__Anon_001_.onServiceDisconnected(android.content.ComponentName),687,1,1,1,3,205
BeamServer.FileType.isImage(),118,1,1,1,3,203
PopcornApplication.getAppContext(),301,1,1,1,3,202
BeamManager.isConnected(),92,1,1,1,3,202
HaruProvider.getLoadingMessage(),208,1,1,1,3,198
BeamManager.hasCastDevices(),91,1,1,1,3,198
Media.getMediaProvider(),229,1,1,1,3,195
BeamManager.getConnectedDevice(),85,1,1,1,3,194
"pct.droid.base.beaming.BeamDeviceAdapter.__Anon_001_.onDiscoveryFailed(com.connectsdk.discovery.DiscoveryManager,com.connectsdk.service.command.ServiceCommandError)",536,1,1,1,3,193
pct.droid.base.fragments.BaseStreamLoadingFragment.__Anon_003_.run(),622,1,1,1,3,193
Media.getSubsProvider(),230,1,1,1,3,191
"pct.droid.base.providers.media.EZTVProvider.__Anon_002_.onFailure(com.squareup.okhttp.Request,java.io.IOException)",637,1,1,1,3,190
pct.droid.base.beaming.BeamDeviceAdapter.1.__Anon_003_.run(),532,1,1,1,3,186
pct.droid.base.providers.media.models.Media.Torrent.__Anon_001_.newArray(int),649,1,1,1,3,185
ObscuredSharedPreferences.unregisterOnSharedPreferenceChangeListener(OnSharedPreferenceChangeListener),282,1,1,1,3,183
pct.droid.base.torrent.StreamInfo.__Anon_001_.newArray(int),673,1,1,1,3,180
pct.droid.base.providers.media.models.Media.Torrent.__Anon_001_.createFromParcel(android.os.Parcel),648,1,1,1,3,180
ObscuredSharedPreferences.registerOnSharedPreferenceChangeListener(OnSharedPreferenceChangeListener),281,1,1,1,3,178
pct.droid.base.fragments.BaseStreamLoadingFragment.__Anon_002_.run(),621,1,1,1,3,177
pct.droid.base.torrent.StreamInfo.__Anon_001_.createFromParcel(android.os.Parcel),672,1,1,1,3,176
pct.droid.base.beaming.BeamDeviceAdapter.1.__Anon_002_.run(),531,1,1,1,3,174
pct.droid.base.providers.media.MediaProvider.__Anon_001_.newArray(int),644,1,1,1,3,173
ObscuredSharedPreferences.contains(java.lang.String),271,1,1,1,3,173
"pct.droid.base.providers.media.HaruProvider.__Anon_002_.onFailure(com.squareup.okhttp.Request,java.io.IOException)",641,1,1,1,3,169
"ObscuredSharedPreferences.getStringSet(java.lang.String,java.util.Set)",280,1,1,1,3,168
BaseStreamLoadingFragment.setState(State),721,1,1,1,3,167
PrefItem.Builder.build(),317,1,1,1,3,166
Media.Torrent.describeContents(),226,1,1,1,3,165
pct.droid.base.beaming.BeamDeviceAdapter.1.__Anon_001_.run(),530,1,1,1,3,162
BeamServer.getSubsURL(FileType),908,1,1,1,3,162
VPNManager.isVPNInstalled(),500,1,1,1,3,158
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_006_.get(PrefItem),576,1,1,1,3,158
BeamServer.getSubsURL(),126,1,1,1,3,158
PrefUtils.getPrefs(android.content.Context),344,1,1,1,3,155
BeamServer.getVideoURL(),127,1,1,1,3,154
PopcornApplication.getSystemLanguage(),304,1,1,1,3,152
Style.defaultID(),407,1,1,1,3,152
PopcornUpdater.setListener(Listener),315,1,1,1,3,151
BeamServer.getHost(),125,1,1,1,3,150
"pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.5.__Anon_001_.onSelection(int,java.lang.Object)",569,1,1,1,3,150
BeamServer.removeSubs(),128,1,1,1,3,146
Media.Torrent.Torrent(),224,1,1,1,3,146
"PrefUtils.remove(android.content.Context,java.lang.String)",345,1,1,1,3,145
MediaProvider.describeContents(),240,1,1,1,3,143
BeamServer.setCurrentSubs(java.lang.String),129,1,1,1,3,142
StreamInfo.describeContents(),370,1,1,1,3,140
BeamServer.setCurrentVideo(java.lang.String),130,1,1,1,3,138
MediaProvider.NavInfo.getLabel(),238,1,1,1,3,137
pct.droid.base.providers.media.models.Media.__Anon_001_.newArray(int),651,1,1,1,3,135
"PrefUtils.contains(android.content.Context,java.lang.String)",339,1,1,1,3,135
StreamInfo.setVideoLocation(java.lang.String),384,1,1,1,3,135
BaseVideoPlayerFragment.LibVLC(),744,1,1,1,3,133
MediaProvider.NavInfo.getOrder(),239,1,1,1,3,133
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_004_.get(PrefItem),574,1,1,1,3,133
ObscuredSharedPreferences.getAll(),275,1,1,1,3,132
StreamInfo.setSubtitleLanguage(java.lang.String),383,1,1,1,3,131
BaseProvider.NameValuePair.getValue(),6,1,1,1,3,131
pct.droid.base.providers.media.models.Media.__Anon_001_.createFromParcel(android.os.Parcel),650,1,1,1,3,130
"pct.droid.base.providers.subs.OpenSubsProvider.__Anon_001_.onServerError(long,de.timroes.axmlrpc.XMLRPCServerException)",663,1,1,1,3,129
MediaProvider.NavInfo.getIcon(),236,1,1,1,3,129
BaseProvider.NameValuePair.getName(),5,1,1,1,3,127
StreamInfo.getMedia(),373,1,1,1,3,127
"pct.droid.base.providers.media.HaruProvider.__Anon_001_.onFailure(com.squareup.okhttp.Request,java.io.IOException)",639,1,1,1,3,127
ObscuredSharedPreferences.edit(),273,1,1,1,3,126
"pct.droid.base.providers.subs.OpenSubsProvider.__Anon_001_.onError(long,de.timroes.axmlrpc.XMLRPCException)",661,1,1,1,3,124
"PrefUtils.get(android.content.Context,java.lang.String,int)",341,1,1,1,3,124
MediaProvider.NavInfo.getId(),237,1,1,1,3,124
StreamInfo.getPaletteColor(),374,1,1,1,3,123
TimedTextObject.toVTT(),435,1,1,1,3,122
MediaProvider.NavInfo.getFilter(),235,1,1,1,3,120
"StringArraySelectorDialogFragment.showSingleChoice(android.support.v4.app.FragmentManager,java.lang.String,java.lang.String[],int,OnClickListener)",1263,1,1,1,3,120
Episode.getMetaProvider(),154,1,1,1,3,120
StreamInfo.getVideoLocation(),381,1,1,1,3,119
TraktProvider.TraktTask.TraktTask(Callback),466,1,1,1,3,116
ObscuredSharedPreferences.Editor.commit(),262,1,1,1,3,115
StreamInfo.getTorrentUrl(),380,1,1,1,3,115
pct.droid.base.providers.media.models.Episode.__Anon_001_.newArray(int),647,1,1,1,3,115
"pct.droid.base.providers.subs.OpenSubsProvider.1.__Anon_001_.onServerError(long,de.timroes.axmlrpc.XMLRPCServerException)",660,1,1,1,3,114
TimedTextObject.toASS(),433,1,1,1,3,113
FileUtils.inputstreamToCharsetString(java.io.InputStream),171,1,1,1,3,113
"pct.droid.base.beaming.BeamManager.__Anon_001_.onClick(android.content.DialogInterface,int)",537,1,1,1,3,113
