10/16/15
Module Metrics

Program: PopcornTime_Android
Module Name,Mod #,v(G),ev(G),iv(G),# Lines,Line #
FileUtils.getCharsetFromBOM(BOM),168,6,1,5,15,269
FormatVTT.toFile(TimedTextObject),195,6,1,4,47,119
FormatSRT.toFile(TimedTextObject),188,6,1,4,43,143
"TorrentHealth.calculate(int,int)",437,6,1,1,30,31
BeamManager.getVolumeControl(),90,5,5,5,6,210
NetworkUtils.isNetworkConnected(android.content.Context),255,5,5,3,9,50
"pct.droid.base.fragments.dialog.FileSelectorDialogFragment.__Anon_001_.onItemClick(android.widget.AdapterView,android.view.View,int,long)",630,5,4,5,16,109
BaseStreamLoadingFragment.startStream(),29,5,4,5,14,234
"SubsProvider.parseFormatAndSave(java.lang.String,java.io.File,java.lang.String,java.io.InputStream)",412,5,3,5,18,217
VPNManager.startEmbeddedProfile(),1661,5,3,3,21,125
"Time.Time(java.lang.String,java.lang.String)",425,5,1,5,43,28
Magnet.setUrl(java.lang.String),221,5,1,5,29,48
HaruProvider.HaruResponse.formatListForPopcorn(java.util.ArrayList),203,5,1,5,26,377
BaseProvider.buildQuery(java.util.List),7,5,1,5,18,99
PopcornUpdater.SHA1(java.lang.String),310,5,1,4,24,323
"Episode.writeToParcel(android.os.Parcel,int)",155,5,1,4,21,85
SubtitleDownloader.onSubtitleDownloadSuccess(),421,5,1,4,16,87
pct.droid.base.providers.media.MediaProvider.__Anon_001_.createFromParcel(android.os.Parcel),643,5,1,4,15,156
BaseVideoPlayerFragment.resumeVideo(),760,5,1,4,13,355
StorageUtils.formatSize(int),360,5,1,3,23,213
"FormatASS.getOptionsForASS(boolean,Style)",181,5,1,1,19,541
TorrentHealth.getStringResource(),439,5,1,1,15,78
TorrentHealth.getImageResource(),1319,5,1,1,15,62
BaseVideoPlayerFragment.subsClick(),64,4,4,3,29,779
VPNManager.strToState(java.lang.String),503,4,4,3,10,223
"DefaultQuality.get(android.content.Context,java.util.List)",141,4,4,2,15,28
